Wall time,Step,Value
1618435058.934624,2122,15485.0
1618435074.0700254,2123,15535.0
1618435228.1561654,2133,15336.0
1618435244.094641,2134,15360.0
1618435304.2449641,2138,15404.0
1618435352.141732,2141,15364.0
1618435402.567804,2144,15353.0
1618435418.1004062,2145,15399.0
1618435463.151762,2148,15293.0
1618435477.7717211,2149,15307.0
1618435507.6554527,2151,15237.0
1618435591.1013513,2156,15147.0
1618435611.0714211,2157,15241.0
1618435732.4505372,2164,15120.0
1618435748.962266,2165,15172.0
1618435820.5031214,2169,15214.0
1618435855.2789967,2171,15046.0
1618435890.3062122,2173,15037.0
1618435960.7638702,2177,14982.0
1618436135.536769,2187,15011.0
1618436170.7145438,2189,14884.0
1618436204.852215,2191,14938.0
1618436222.1622438,2192,14946.0
1618436294.6890612,2196,14933.0
1618436346.813616,2199,14941.0
1618436478.9655273,2207,14970.0
1618436538.9499257,2211,14831.0
1618436583.852337,2214,14846.0
1618436752.322388,2225,14776.0
1618436812.3913007,2229,14737.0
1618436842.2967503,2231,14733.0
1618436887.435705,2234,14672.0
1618436917.080988,2236,14665.0
1618436933.9639137,2237,14697.0
1618436965.8221402,2239,14679.0
1618436995.7580395,2241,14634.0
1618437011.6148946,2242,14612.0
1618437041.8016856,2244,14603.0
1618437072.7751374,2246,14585.0
1618437087.631284,2247,14523.0
1618437147.010465,2251,14505.0
1618437161.0685596,2252,14530.0
1618437191.8854797,2254,14495.0
1618437236.5392737,2257,14501.0
1618437311.6510613,2262,14491.0
1618437493.3879068,2274,14491.0
1618437552.9200995,2278,14420.0
1618437598.135711,2281,14414.0
1618437749.2279513,2291,14386.0
1618437833.9599135,2297,14334.0
1618437848.5787039,2298,14355.0
1618437877.1993806,2300,14315.0
1618437918.641895,2303,14337.0
1618437958.7650647,2306,14285.0
1618437971.6226406,2307,14322.0
1618437984.5126343,2308,14306.0
1618438124.3777807,2318,14276.0
1618438137.5210378,2319,14242.0
1618438151.6673412,2320,14216.0
1618438178.7343628,2322,14254.0
1618438323.6848016,2334,14183.0
1618438334.652353,2335,14234.0
1618438345.8951995,2336,14205.0
1618438356.4230611,2337,14209.0
1618438430.7008338,2345,14315.0
1618438508.8215315,2354,14212.0
1618438545.1813312,2359,14224.0
1618438602.5320494,2367,14144.0
1618438609.6212146,2368,14121.0
1618438631.2382908,2371,14137.0
1618438710.580106,2382,14072.0
1618438732.0289884,2385,14094.0
1618438753.5327885,2388,14083.0
1618438760.7834158,2389,14062.0
1618438768.065707,2390,14050.0
1618438782.2532685,2392,14029.0
1618438840.3621836,2400,13995.0
1618438854.9247491,2402,13988.0
1618438869.3021655,2404,13974.0
1618438883.8234289,2406,13984.0
1618438956.3884609,2416,13939.0
1618439013.9253519,2424,13956.0
1618439021.32329,2425,13953.0
1618439057.3847504,2430,13900.0
1618439100.391624,2436,13872.0
1618439157.6326284,2444,13877.0
1618439200.6915786,2450,13852.0
1618439207.829581,2451,13859.0
1618439215.1076033,2452,13855.0
1618439222.4552088,2453,13866.0
1618439236.6252131,2455,13843.0
1618439272.915362,2460,13808.0
1618439409.4965274,2479,13764.0
1618439424.0209696,2481,13747.0
1618439452.840041,2485,13724.0
1618439460.0054026,2486,13737.0
1618439532.2069304,2496,13697.0
1618439546.5946698,2498,13708.0
1618439568.0428522,2501,13694.0
1618439575.653839,2502,13694.0
1618439582.8255699,2503,13721.0
1618439655.1636255,2513,13704.0
1618439662.3181486,2514,13685.0
1618439684.1280081,2517,13647.0
1618439698.5276058,2519,13640.0
1618439727.3088782,2523,13649.0
1618439741.9060488,2525,13640.0
1618439763.480473,2528,13631.0
1618439777.9181037,2530,13613.0
1618439792.315491,2532,13610.0
1618439807.055951,2534,13617.0
1618439872.6506047,2543,13556.0
1618439901.3259914,2547,13558.0
1618439930.3017719,2551,13559.0
1618439944.7673988,2553,13532.0
1618439966.6871178,2556,13527.0
1618439988.471671,2559,13542.0
1618440031.7045112,2565,13527.0
1618440038.8997126,2566,13521.0
1618440067.3643928,2570,13494.0
1618440088.9323041,2573,13502.0
1618440110.3233848,2576,13478.0
1618440124.5861082,2578,13481.0
1618440160.7386916,2583,13468.0
1618440189.5001173,2587,13441.0
1618440211.059933,2590,13461.0
1618440218.3106053,2591,13449.0
1618440225.4804091,2592,13466.0
1618440232.571594,2593,13451.0
1618440254.0655715,2596,13480.0
1618440282.823413,2600,13441.0
1618440325.925348,2606,13414.0
1618440333.2784803,2607,13403.0
1618440354.6844435,2610,13406.0
1618440412.3443909,2618,13388.0
1618440448.6392176,2623,13366.0
1618440470.1765654,2626,13390.0
1618440491.4920948,2629,13398.0
1618440498.7666955,2630,13397.0
1618440512.9750807,2632,13379.0
1618440534.5871534,2635,13365.0
1618440541.6207285,2636,13370.0
1618440555.9740431,2638,13347.0
1618440598.893738,2644,13334.0
1618440620.4936197,2647,13334.0
1618440642.160453,2650,13349.0
1618440649.4457846,2651,13327.0
1618440678.1960084,2655,13314.0
1618440721.2627697,2661,13308.0
1618440815.4120088,2674,13292.0
1618440844.3455195,2678,13277.0
1618440859.042964,2680,13288.0
1618440895.0652416,2685,13275.0
1618440931.6490777,2690,13258.0
1618440996.7083726,2699,13251.0
1618441025.8424172,2703,13248.0
1618441055.0662107,2707,13238.0
1618441076.6545007,2710,13239.0
1618441184.5678399,2725,13220.0
1618441256.434549,2735,13211.0
1618441263.6150267,2736,13191.0
1618441270.8616176,2737,13195.0
1618441292.2078495,2740,13195.0
1618441335.1835754,2746,13186.0
1618441378.216363,2752,13184.0
1618441385.4205048,2753,13182.0
1618441392.5042212,2754,13189.0
1618441399.634004,2755,13186.0
1618441406.6501617,2756,13195.0
1618441414.002968,2757,13190.0
1618441421.1441772,2758,13188.0
1618441478.3907022,2766,13179.0
1618441643.8297772,2789,13149.0
1618441650.9168186,2790,13148.0
1618441658.0918927,2791,13146.0
1618441708.2681868,2798,13133.0
1618441787.831617,2809,13111.0
1618441802.4769187,2811,13114.0
1618441831.5679233,2815,13101.0
1618441888.918052,2823,13101.0
1618441896.275243,2824,13104.0
1618441917.7893515,2827,13107.0
1618441932.179806,2829,13098.0
1618441939.2780287,2830,13093.0
1618441953.683869,2832,13095.0
1618442090.9445848,2851,13087.0
1618442127.0690207,2856,13076.0
